DOI,"Author, year",biomass (particle size),Type-of-Biomass,Total HSP,"Cellulose, %","Lignin, %","Hemicellulose, %",solvent (concentration),SMILES,Solvent vol. %,Solvent viscosity (mPa.s),S1,S2,S3,S4,S5,S6,Water vol. %,T (oC),time (min),Solid loading (g/mL),acid (given),Catalyst density (g/mL),Catalyst mol-wt (g/mol),pH of catalyst,Catalyst loading (mM),"Delignification,%"
10.1016/j.indcrop.2020.112144,"Meng et al., 2020",Populus trichocarpa deltoides (<1mm) ,Hardwood,24.26581958,45.4,23.3,15.8,ethanol (60% v/v),OCC,60,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,40,180,60,13,H2SO4 (1.25% w/w of dry biomass),1.83,98.079,2.75,17,84
10.1016/j.indcrop.2020.112144,"Meng et al., 2020",Populus trichocarpa deltoides (<1mm) ,Hardwood,24.26581958,45.4,23.3,15.8,tetrahydrofuran (50% v/v),C1CCOC1,50,0.46,0,0,7.60295,2.5123,0.4997,0.58545,50,160,15,13,H2SO4 (0.25% w/w),1.83,98.079,2.75,66,85
10.1016/j.indcrop.2020.112144,"Meng et al., 2020",Populus trichocarpa deltoides (<1mm) ,Hardwood,24.26581958,45.4,23.3,15.8,gamma-valerolactone (80% v/v),CC1CCC(=O)O1,80,2.18,0,0.0045,8.82105,2.4786,1.9768,0.30315,20,120,120,13.3,H2SO4 (4.5% w/w of dry biomass),1.83,98.079,2.75,60,52
10.1039/c9gc00596j,"Dong et al., 2019",Eucalyptus chips (<2mm),Hardwood,24.26581958,42,25,21,ethanol (65 v/v),OCC,65,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,35,170,60,14.29,H2SO4 (15 mM),1.83,98.079,2.75,15,64
10.1039/c9gc00596j,"Dong et al., 2019",Eucalyptus chips (<2mm),Hardwood,24.26581958,42,25,21,ethanol (85 v/v),OCC,85,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,15,170,60,14.29,H2SO4 (15 mM),1.83,98.079,2.75,15,64
10.1039/c9gc00596j,"Dong et al., 2019",Eucalyptus chips (<2mm),Hardwood,24.26581958,42,25,21,"1,4-butanediol(65 v/v)",OCCCCO,65,65,0.38115,0.3562,7.72015,2.8162,0.75415,1.02155,35,170,60,14.29,H2SO4 (15 mM),1.83,98.079,2.75,15,60
10.1039/c9gc00596j,"Dong et al., 2019",Eucalyptus chips (<2mm),Hardwood,24.26581958,42,25,21,"1,4-butanediol(85 v/v)",OCCCCO,85,65,0.38115,0.3562,7.72015,2.8162,0.75415,1.02155,15,170,60,14.29,H2SO4 (15 mM),1.83,98.079,2.75,15,60
10.1039/c9gc00596j,"Dong et al., 2019",Eucalyptus chips (<2mm),Hardwood,24.26581958,42,25,21,"1,4-butanediol(85 v/v)",OCCCCO,85,65,0.38115,0.3562,7.72015,2.8162,0.75415,1.02155,15,170,60,14.29,H2SO4 (20 mM),1.83,98.079,2.75,20,90
10.1039/c9gc00596j,"Dong et al., 2019",Eucalyptus chips (<2mm),Hardwood,24.26581958,42,25,21,Methanol (65 v/v),CO,65,0.543,0.3199,0.4273,3.45695,1.3634,0.5064,0.69145,35,170,60,14.29,H2SO4 (20 mM),1.83,98.079,2.75,20,81.5
10.1039/c9gc00596j,"Dong et al., 2019",Eucalyptus chips (<2mm),Hardwood,24.26581958,42,25,21,Ethanol (65 v/v),OCC,65,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,35,170,60,14.29,H2SO4 (20 mM),1.83,98.079,2.75,20,81.6
